epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,4536.62,1.16628,1.14295,1.27405,0.50797,0.46562,0.46382,0.32511,1.19419,2.32784,1.66497,0.00136994,0.00136994,0.00136994
20,4745.15,1.18064,1.06878,1.25974,0.81944,0.51279,0.68439,0.4572,1.13236,1.65264,1.57717,0.00135344,0.00135344,0.00135344
21,4953.23,1.17999,1.06083,1.26848,0.74419,0.5186,0.63812,0.40589,1.22371,1.57825,1.67289,0.00133693,0.00133693,0.00133693
22,5156.76,1.14197,1.07421,1.27082,0.78358,0.54942,0.69925,0.4663,1.13404,1.61461,1.60063,0.00132043,0.00132043,0.00132043
23,5362.7,1.15692,1.0331,1.25802,0.4882,0.5186,0.55223,0.36286,1.30776,1.64093,1.79029,0.00130393,0.00130393,0.00130393
24,5571.79,1.08599,1.0112,1.24625,0.82231,0.67616,0.80188,0.49078,1.26723,1.37501,1.68341,0.00128742,0.00128742,0.00128742
25,5785.7,1.13287,0.98142,1.23462,0.74788,0.64686,0.74805,0.48654,1.16805,1.3382,1.60256,0.00127092,0.00127092,0.00127092
26,5992.35,1.11545,0.98698,1.22911,0.73346,0.67093,0.76454,0.51844,1.06887,1.60764,1.53876,0.00125442,0.00125442,0.00125442
27,6200.25,1.1134,0.96715,1.23654,0.75978,0.62267,0.74452,0.47477,1.3472,1.44465,1.7865,0.00123791,0.00123791,0.00123791
28,6409.35,1.09691,0.9568,1.23387,0.72214,0.7188,0.8111,0.52527,1.19015,1.25678,1.6507,0.00122141,0.00122141,0.00122141
29,6621.31,1.09744,0.94729,1.21303,0.57886,0.6343,0.66353,0.4381,1.12368,1.74979,1.63278,0.00120491,0.00120491,0.00120491
30,6825,1.06917,0.91994,1.19364,0.65466,0.58469,0.64022,0.34072,1.49643,1.73295,2.04519,0.0011884,0.0011884,0.0011884
31,7031.37,1.11262,0.93173,1.22002,0.75748,0.72885,0.74378,0.40955,1.31306,1.60457,1.73132,0.0011719,0.0011719,0.0011719
32,7241.84,1.07636,0.89088,1.20871,0.77538,0.59186,0.76301,0.50068,1.19583,1.39139,1.60543,0.0011554,0.0011554,0.0011554
33,7440.91,1.05966,0.90884,1.19098,0.70051,0.87455,0.83226,0.54187,1.14445,1.10623,1.58311,0.00113889,0.00113889,0.00113889
34,7640.19,1.02697,0.85726,1.18747,0.73972,0.87895,0.83958,0.54251,1.14114,1.07073,1.63208,0.00112239,0.00112239,0.00112239
35,7839.54,1.0186,0.84009,1.18021,0.80651,0.75174,0.80517,0.53641,1.14902,1.2779,1.57196,0.00110589,0.00110589,0.00110589
36,8042.91,1.05089,0.85663,1.18178,0.69093,0.8593,0.85313,0.59561,1.04652,1.1046,1.51444,0.00108938,0.00108938,0.00108938
37,8242.66,1.0293,0.85364,1.17214,0.49175,0.67674,0.69544,0.46745,1.16648,1.69755,1.63929,0.00107288,0.00107288,0.00107288
38,8467.75,1.00868,0.81635,1.1703,0.70189,0.85508,0.84524,0.51379,1.23402,1.2213,1.7024,0.00105638,0.00105638,0.00105638
39,8694.68,1.01842,0.81624,1.17949,0.69191,0.8196,0.85371,0.60377,0.96453,1.25965,1.44299,0.00103987,0.00103987,0.00103987
40,8924.01,1.04532,0.83629,1.17922,0.76947,0.75476,0.83987,0.57515,1.11296,1.13112,1.53475,0.00102337,0.00102337,0.00102337
41,9152.69,1.02525,0.79151,1.16445,0.70082,0.70208,0.80739,0.52322,1.16853,1.15242,1.6845,0.00100687,0.00100687,0.00100687
42,9380.13,1.00109,0.79782,1.14502,0.67393,0.69068,0.73015,0.44998,1.32687,1.41334,1.78107,0.000990365,0.000990365,0.000990365
