epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.376,3.05431,3.8071,2.69616,0.00132,0.25174,0.0015,0.00044,2.98594,4.31829,3.4872,0.000542744,0.000542744,0.000542744
2,945.712,2.51927,3.186,2.41259,0.00037,0.0407,0.0002,4e-05,5.27775,6.31639,6.04056,0.00108754,0.00108754,0.00108754
3,1144.38,1.81191,2.42555,1.87367,0.60344,0.11047,0.04834,0.01581,3.84553,4.34879,4.3572,0.00162133,0.00162133,0.00162133
4,1344.05,1.67266,2.12017,1.67809,0.66971,0.15116,0.14048,0.07225,2.49514,3.99527,2.94863,0.00161749,0.00161749,0.00161749
5,1542.98,1.55553,1.89319,1.5694,0.72586,0.18605,0.16148,0.09369,2.32419,5.62217,2.84102,0.00160099,0.00160099,0.00160099
6,1742.57,1.49689,1.78204,1.53613,0.7754,0.23256,0.25871,0.14426,1.84566,2.94391,2.25374,0.00158448,0.00158448,0.00158448
7,1971.29,1.47671,1.67075,1.46655,0.72107,0.26163,0.34766,0.18473,1.73254,2.59401,2.10785,0.00156798,0.00156798,0.00156798
8,2170.55,1.41228,1.58475,1.45034,0.71589,0.28488,0.30661,0.1572,1.76955,2.67695,2.11736,0.00155148,0.00155148,0.00155148
9,2372.88,1.40287,1.51234,1.43376,0.28929,0.3,0.24263,0.09373,1.92743,3.03137,2.39418,0.00153497,0.00153497,0.00153497
10,2576.41,1.36589,1.4595,1.40696,0.72571,0.22674,0.27665,0.16539,1.71304,2.60901,2.11203,0.00151847,0.00151847,0.00151847
11,2779.05,1.36782,1.39845,1.38744,0.75785,0.25,0.31902,0.19733,1.57271,2.69122,1.98731,0.00150197,0.00150197,0.00150197
12,2985.67,1.3089,1.32736,1.35104,0.40185,0.45988,0.38922,0.20632,1.8108,2.37052,2.1154,0.00148546,0.00148546,0.00148546
13,3211.17,1.28258,1.29045,1.36644,0.27978,0.54186,0.44727,0.25392,1.44557,2.28825,1.83753,0.00146896,0.00146896,0.00146896
14,3439.01,1.27313,1.27594,1.3314,0.51755,0.33256,0.45207,0.29653,1.41574,2.15675,1.83296,0.00145246,0.00145246,0.00145246
15,3664.85,1.24299,1.21805,1.31192,0.43851,0.58618,0.55593,0.33875,1.34571,1.816,1.75325,0.00143595,0.00143595,0.00143595
16,3889.57,1.22285,1.1601,1.30981,0.44467,0.53532,0.53739,0.3377,1.35435,2.10983,1.79916,0.00141945,0.00141945,0.00141945
17,4117.35,1.216,1.13633,1.28497,0.52529,0.59012,0.60393,0.35499,1.37023,1.95917,1.85556,0.00140295,0.00140295,0.00140295
18,4324.98,1.21927,1.15546,1.30227,0.48966,0.46977,0.55162,0.33386,1.39032,2.17125,1.81975,0.00138644,0.00138644,0.00138644
