epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1212.95,0.88572,1.95997,1.10623,0.78773,0.68874,0.68621,0.53148,0.87591,2.19809,1.14587,0.000414909,0.000414909,0.000414909
2,2446.03,0.96442,1.23625,1.14746,0.75796,0.59422,0.65748,0.49262,0.92486,1.88517,1.19472,0.00081511,0.00081511,0.00081511
3,3713.51,0.96576,1.04545,1.14485,0.65083,0.53108,0.55405,0.41394,1.01041,2.17123,1.26035,0.00119881,0.00119881,0.00119881
4,4982.07,0.97109,0.92014,1.15726,0.72023,0.62609,0.70847,0.5517,0.88553,1.73222,1.16979,0.00117575,0.00117575,0.00117575
5,6254.48,0.92002,0.82502,1.1271,0.87119,0.7156,0.79706,0.62942,0.83684,1.18824,1.09579,0.001151,0.001151,0.001151
6,7523.44,0.90826,0.74565,1.12057,0.87205,0.7168,0.73511,0.57881,0.85682,1.38496,1.17919,0.00112625,0.00112625,0.00112625
7,8795.26,0.88318,0.70134,1.11026,0.91881,0.73711,0.81227,0.64521,0.82622,1.15261,1.15336,0.0011015,0.0011015,0.0011015
8,9945.28,0.87854,0.66953,1.10924,0.88356,0.71957,0.77697,0.62257,0.83068,1.23257,1.15523,0.00107675,0.00107675,0.00107675
9,11126.1,0.86008,0.66228,1.10166,0.90325,0.76414,0.825,0.65772,0.79662,1.05363,1.13617,0.001052,0.001052,0.001052
10,12319.9,0.8369,0.62798,1.08735,0.8884,0.77623,0.82018,0.66103,0.80798,1.10653,1.09368,0.00102725,0.00102725,0.00102725
11,13449.7,0.82665,0.59333,1.07656,0.87134,0.75318,0.7859,0.631,0.81716,1.23819,1.11797,0.0010025,0.0010025,0.0010025
12,14687.9,0.82329,0.5868,1.08292,0.91408,0.76974,0.84982,0.68251,0.80912,1.05679,1.09912,0.00097775,0.00097775,0.00097775
