epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,15883.3,0.80029,0.55868,1.06286,0.88725,0.80587,0.82416,0.67352,0.76257,1.13468,1.10275,0.000953,0.000953,0.000953
14,17054.7,0.79037,0.5444,1.05987,0.83771,0.77611,0.80559,0.65478,0.80306,1.3184,1.11379,0.00092825,0.00092825,0.00092825
15,18288.5,0.79254,0.53364,1.06075,0.85506,0.77018,0.7657,0.62898,0.75967,1.33954,1.07563,0.0009035,0.0009035,0.0009035
16,19525,0.78986,0.53861,1.06668,0.86431,0.79337,0.79,0.6452,0.78908,1.09855,1.13295,0.00087875,0.00087875,0.00087875
17,20662.6,0.77635,0.52293,1.05578,0.87762,0.78147,0.83297,0.68567,0.75942,1.11122,1.08306,0.000854,0.000854,0.000854
18,21799.1,0.76948,0.51395,1.05137,0.87857,0.78333,0.78754,0.64942,0.78352,1.23888,1.13754,0.00082925,0.00082925,0.00082925
19,23028.5,0.75746,0.50995,1.04962,0.89278,0.79728,0.77964,0.64276,0.75408,1.13257,1.09118,0.0008045,0.0008045,0.0008045
20,24257.9,0.75904,0.48894,1.04337,0.87587,0.80323,0.79441,0.66233,0.74422,1.14309,1.08334,0.00077975,0.00077975,0.00077975
21,25495.2,0.75535,0.495,1.04546,0.9065,0.80718,0.84633,0.69744,0.75084,0.98067,1.0819,0.000755,0.000755,0.000755
22,26611,0.73522,0.47398,1.03127,0.85308,0.77955,0.7721,0.64403,0.73756,1.2428,1.05917,0.00073025,0.00073025,0.00073025
23,27733,0.74228,0.47193,1.03827,0.90606,0.80232,0.80473,0.66303,0.75395,1.09231,1.09829,0.0007055,0.0007055,0.0007055
24,28803.5,0.73753,0.46183,1.04057,0.86908,0.80468,0.79319,0.65878,0.73985,1.22696,1.09936,0.00068075,0.00068075,0.00068075
25,29910.3,0.72566,0.46227,1.03628,0.87478,0.7987,0.79544,0.66258,0.73386,1.22819,1.09769,0.000656,0.000656,0.000656
26,31121.8,0.72443,0.45366,1.03162,0.88734,0.79851,0.78486,0.64696,0.7525,1.17472,1.11593,0.00063125,0.00063125,0.00063125
27,32333.9,0.72119,0.45141,1.02875,0.88049,0.80958,0.81603,0.67627,0.74047,1.17503,1.09049,0.0006065,0.0006065,0.0006065
28,33541.8,0.71841,0.45143,1.02768,0.88628,0.80911,0.83818,0.69499,0.75081,1.07475,1.09557,0.00058175,0.00058175,0.00058175
29,34741.2,0.70549,0.43841,1.01958,0.89008,0.80993,0.78805,0.65057,0.73485,1.20461,1.08289,0.000557,0.000557,0.000557
30,35879.3,0.70541,0.43416,1.01719,0.88346,0.80579,0.80709,0.66664,0.7379,1.1643,1.08886,0.00053225,0.00053225,0.00053225
31,37100.9,0.69804,0.4209,1.01793,0.88729,0.80941,0.79586,0.66495,0.72267,1.19939,1.08867,0.0005075,0.0005075,0.0005075
32,38261.2,0.69405,0.41799,1.01471,0.87336,0.8025,0.78769,0.65132,0.71531,1.20706,1.07153,0.00048275,0.00048275,0.00048275
33,39411.5,0.68736,0.41264,1.01178,0.88608,0.80061,0.80478,0.67073,0.7189,1.18421,1.07681,0.000458,0.000458,0.000458
34,40555,0.69534,0.40929,1.01661,0.88439,0.80822,0.79789,0.66424,0.72306,1.24419,1.07141,0.00043325,0.00043325,0.00043325
35,41798.5,0.67858,0.4001,1.0094,0.88513,0.80275,0.78981,0.6625,0.71676,1.28812,1.08553,0.0004085,0.0004085,0.0004085
36,43891.7,0.67551,0.40267,1.0093,0.89189,0.81334,0.81623,0.68796,0.70726,1.11141,1.05905,0.00038375,0.00038375,0.00038375
37,45068.5,0.6734,0.39167,1.00094,0.90345,0.79795,0.81035,0.67988,0.70598,1.13638,1.04914,0.000359,0.000359,0.000359
38,46344.6,0.6715,0.39381,1.00484,0.89699,0.79565,0.80462,0.67464,0.71504,1.14733,1.0593,0.00033425,0.00033425,0.00033425
39,47621.3,0.66039,0.3832,0.99685,0.89182,0.80491,0.79915,0.67694,0.70062,1.18656,1.05691,0.0003095,0.0003095,0.0003095
40,48847.6,0.65183,0.37984,0.99629,0.88395,0.81145,0.78325,0.66267,0.69682,1.23589,1.05538,0.00028475,0.00028475,0.00028475
41,49986.5,0.55338,0.2767,0.9108,0.88503,0.7908,0.77214,0.64572,0.71075,1.24986,1.07639,0.00026,0.00026,0.00026
42,51213.4,0.54993,0.27661,0.90244,0.88442,0.8033,0.78039,0.65565,0.71339,1.2133,1.07418,0.00023525,0.00023525,0.00023525
43,52346,0.54444,0.27247,0.90372,0.88721,0.80248,0.76999,0.64559,0.70709,1.18536,1.08985,0.0002105,0.0002105,0.0002105
44,53537.7,0.53484,0.26223,0.90635,0.88231,0.80272,0.78186,0.65644,0.70606,1.1732,1.10047,0.00018575,0.00018575,0.00018575
45,54804.5,0.53146,0.25933,0.90386,0.88369,0.80124,0.79039,0.66285,0.70338,1.17792,1.07764,0.000161,0.000161,0.000161
46,56071.6,0.52714,0.25494,0.89811,0.88237,0.79695,0.7896,0.6644,0.70331,1.15353,1.07898,0.00013625,0.00013625,0.00013625
47,57339.9,0.51959,0.24576,0.88995,0.88622,0.80062,0.78272,0.66122,0.6999,1.23328,1.07435,0.0001115,0.0001115,0.0001115
48,58602.5,0.5176,0.24773,0.89801,0.88854,0.79821,0.77696,0.65455,0.69736,1.24226,1.08222,8.675e-05,8.675e-05,8.675e-05
49,59873.9,0.5147,0.23803,0.88987,0.8779,0.80831,0.78467,0.66268,0.6924,1.21033,1.07083,6.2e-05,6.2e-05,6.2e-05
50,61143.6,0.50827,0.23647,0.89556,0.88755,0.80176,0.78535,0.66391,0.69432,1.20463,1.07404,3.725e-05,3.725e-05,3.725e-05
