epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1230.3,0.88572,1.95997,1.10623,0.78773,0.68874,0.68621,0.53148,0.87591,2.19809,1.14587,0.000414909,0.000414909,0.000414909
2,2480.46,0.96442,1.23625,1.14746,0.75796,0.59422,0.65748,0.49262,0.92486,1.88517,1.19472,0.00081511,0.00081511,0.00081511
3,3669.15,0.96576,1.04545,1.14485,0.65083,0.53108,0.55405,0.41394,1.01041,2.17123,1.26035,0.00119881,0.00119881,0.00119881
4,4872.76,0.97109,0.92014,1.15726,0.72023,0.62609,0.70847,0.5517,0.88553,1.73222,1.16979,0.00117575,0.00117575,0.00117575
5,6193.73,0.92002,0.82502,1.1271,0.87119,0.7156,0.79706,0.62942,0.83684,1.18824,1.09579,0.001151,0.001151,0.001151
6,7521.57,0.90826,0.74565,1.12057,0.87205,0.7168,0.73511,0.57881,0.85682,1.38496,1.17919,0.00112625,0.00112625,0.00112625
7,8838.8,0.88318,0.70134,1.11026,0.91881,0.73711,0.81227,0.64521,0.82622,1.15261,1.15336,0.0011015,0.0011015,0.0011015
8,10083.4,0.87854,0.66953,1.10924,0.88356,0.71957,0.77697,0.62257,0.83068,1.23257,1.15523,0.00107675,0.00107675,0.00107675
9,11269.5,0.86008,0.66228,1.10166,0.90325,0.76414,0.825,0.65772,0.79662,1.05363,1.13617,0.001052,0.001052,0.001052
10,12439,0.8369,0.62798,1.08735,0.8884,0.77623,0.82018,0.66103,0.80798,1.10653,1.09368,0.00102725,0.00102725,0.00102725
11,13755.7,0.82665,0.59333,1.07656,0.87134,0.75318,0.7859,0.631,0.81716,1.23819,1.11797,0.0010025,0.0010025,0.0010025
12,15072.1,0.82329,0.5868,1.08292,0.91408,0.76974,0.84982,0.68251,0.80912,1.05679,1.09912,0.00097775,0.00097775,0.00097775
13,16389.6,0.80029,0.55868,1.06286,0.88725,0.80587,0.82416,0.67352,0.76257,1.13468,1.10275,0.000953,0.000953,0.000953
14,17706.6,0.79037,0.5444,1.05987,0.83771,0.77611,0.80559,0.65478,0.80306,1.3184,1.11379,0.00092825,0.00092825,0.00092825
15,18933.6,0.79254,0.53364,1.06075,0.85506,0.77018,0.7657,0.62898,0.75967,1.33954,1.07563,0.0009035,0.0009035,0.0009035
16,20100.5,0.78986,0.53861,1.06668,0.86431,0.79337,0.79,0.6452,0.78908,1.09855,1.13295,0.00087875,0.00087875,0.00087875
17,21263.3,0.77635,0.52293,1.05578,0.87762,0.78147,0.83297,0.68567,0.75942,1.11122,1.08306,0.000854,0.000854,0.000854
18,22467.8,0.76948,0.51395,1.05137,0.87857,0.78333,0.78754,0.64942,0.78352,1.23888,1.13754,0.00082925,0.00082925,0.00082925
19,23650.4,0.75746,0.50995,1.04962,0.89278,0.79728,0.77964,0.64276,0.75408,1.13257,1.09118,0.0008045,0.0008045,0.0008045
20,25026.3,0.75904,0.48894,1.04337,0.87587,0.80323,0.79441,0.66233,0.74422,1.14309,1.08334,0.00077975,0.00077975,0.00077975
21,26346.7,0.75535,0.495,1.04546,0.9065,0.80718,0.84633,0.69744,0.75084,0.98067,1.0819,0.000755,0.000755,0.000755
22,27593.5,0.73522,0.47398,1.03127,0.85308,0.77955,0.7721,0.64403,0.73756,1.2428,1.05917,0.00073025,0.00073025,0.00073025
23,28741.6,0.74228,0.47193,1.03827,0.90606,0.80232,0.80473,0.66303,0.75395,1.09231,1.09829,0.0007055,0.0007055,0.0007055
24,30005.9,0.73753,0.46183,1.04057,0.86908,0.80468,0.79319,0.65878,0.73985,1.22696,1.09936,0.00068075,0.00068075,0.00068075
25,31190,0.72566,0.46227,1.03628,0.87478,0.7987,0.79544,0.66258,0.73386,1.22819,1.09769,0.000656,0.000656,0.000656
26,32469.2,0.72443,0.45366,1.03162,0.88734,0.79851,0.78486,0.64696,0.7525,1.17472,1.11593,0.00063125,0.00063125,0.00063125
27,33798,0.72119,0.45141,1.02875,0.88049,0.80958,0.81603,0.67627,0.74047,1.17503,1.09049,0.0006065,0.0006065,0.0006065
28,35131,0.71841,0.45143,1.02768,0.88628,0.80911,0.83818,0.69499,0.75081,1.07475,1.09557,0.00058175,0.00058175,0.00058175
29,36461.2,0.70549,0.43841,1.01958,0.89008,0.80993,0.78805,0.65057,0.73485,1.20461,1.08289,0.000557,0.000557,0.000557
30,37795.1,0.70541,0.43416,1.01719,0.88346,0.80579,0.80709,0.66664,0.7379,1.1643,1.08886,0.00053225,0.00053225,0.00053225
31,39123.2,0.69804,0.4209,1.01793,0.88729,0.80941,0.79586,0.66495,0.72267,1.19939,1.08867,0.0005075,0.0005075,0.0005075
