epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.9752,1.07312,2.87532,1.50009,0.00391,1,0.63178,0.43826,0.7371,3.53648,1.26188,0.00015003,0.00015003,0.00015003
2,109.061,0.9837,2.06451,1.39115,0.00348,1,0.57741,0.45513,0.57939,3.33753,1.17847,0.000310459,0.000310459,0.000310459
3,160.46,0.96378,1.72701,1.39492,0.48477,0.75706,0.72235,0.32624,1.15525,3.5159,1.75331,0.000464286,0.000464286,0.000464286
4,216.083,1.01891,1.64109,1.45818,0.54741,0.18981,0.39479,0.16486,1.54372,3.79681,2.11773,0.000611512,0.000611512,0.000611512
5,273.054,1.0212,1.61378,1.40072,0.34504,0.22993,0.38771,0.1862,1.33282,3.67399,2.15992,0.000752137,0.000752137,0.000752137
6,325.632,1.05665,1.51038,1.44891,0.48882,0.52186,0.54262,0.2205,1.97124,3.5244,2.89078,0.000886161,0.000886161,0.000886161
7,377.776,1.00438,1.48596,1.39885,0.46199,0.37926,0.35252,0.13581,2.41507,4.18987,4.21209,0.00101358,0.00101358,0.00101358
8,433.117,1.07703,1.46117,1.4214,0.40346,0.3322,0.18214,0.05648,2.31674,4.5268,3.975,0.0011344,0.0011344,0.0011344
9,494.865,1.03985,1.52215,1.40238,0.53256,0.25,0.15185,0.04383,2.04319,4.60326,3.36505,0.00124862,0.00124862,0.00124862
10,549.178,1.05236,1.4088,1.45858,0.80465,0.3122,0.38255,0.13045,2.56038,4.76639,4.77446,0.00135624,0.00135624,0.00135624
11,604.225,1.10605,1.5044,1.47741,0.81098,0.35,0.42442,0.17539,2.53269,4.43644,4.08672,0.00133693,0.00133693,0.00133693
12,674.353,1.0352,1.3825,1.41267,0.24826,0.4,0.27697,0.07957,2.6018,4.00084,3.98084,0.00130393,0.00130393,0.00130393
13,726.713,0.98381,1.27617,1.373,0.77871,0.61683,0.67577,0.29547,2.03766,2.82454,2.8004,0.00127092,0.00127092,0.00127092
14,779.034,0.98965,1.2194,1.38102,0.22679,0.35286,0.31393,0.12266,2.53078,3.40699,3.71008,0.00123791,0.00123791,0.00123791
15,834.978,1.01588,1.22164,1.35155,0.54622,0.525,0.49159,0.21656,2.69891,3.07296,4.24613,0.00120491,0.00120491,0.00120491
16,887.712,0.98717,1.13466,1.38276,0.6591,0.775,0.80537,0.49734,1.18483,2.00504,1.84919,0.0011719,0.0011719,0.0011719
17,938.552,1.00274,1.20751,1.39929,0.6224,0.65229,0.65568,0.44958,1.009,1.83375,1.63015,0.00113889,0.00113889,0.00113889
18,989.791,0.99091,1.07185,1.33721,0.67557,0.78991,0.77535,0.5187,0.90498,2.10615,1.40127,0.00110589,0.00110589,0.00110589
19,1044.03,0.98783,1.1695,1.35224,0.74987,0.79703,0.80142,0.56272,1.10713,1.55412,1.57307,0.00107288,0.00107288,0.00107288
20,1100.05,0.96717,1.12321,1.34731,0.89692,0.825,0.9053,0.6656,1.08053,1.32299,1.55737,0.00103987,0.00103987,0.00103987
21,1155.7,0.89874,1.00504,1.2706,0.90189,0.90137,0.96645,0.69315,1.09976,1.21582,1.51414,0.00100687,0.00100687,0.00100687
22,1211.95,0.91454,1.02196,1.32702,0.94568,0.84716,0.93248,0.60385,1.26536,1.33559,1.67337,0.000973861,0.000973861,0.000973861
23,1267.48,0.94485,0.98445,1.35353,0.83071,0.94811,0.96517,0.59467,1.39777,1.35587,1.76119,0.000940855,0.000940855,0.000940855
24,1323.12,0.89924,0.91658,1.30886,0.94288,1,0.97773,0.66111,1.28619,1.22668,1.66176,0.000907848,0.000907848,0.000907848
25,1378.36,0.90635,0.98698,1.29903,0.84266,1,0.95887,0.60608,1.39216,1.39463,1.72641,0.000874842,0.000874842,0.000874842
26,1433.84,0.93274,0.93589,1.2967,0.97583,0.99164,0.99381,0.7536,0.92786,0.9691,1.35282,0.000841835,0.000841835,0.000841835
27,1490.05,0.87335,0.89279,1.27327,0.89223,0.96428,0.97534,0.72492,0.98906,1.03801,1.43667,0.000808828,0.000808828,0.000808828
28,1546.69,0.87761,0.9271,1.31743,0.9058,0.975,0.96794,0.77264,0.88288,1.01285,1.34559,0.000775822,0.000775822,0.000775822
29,1603.41,0.90666,0.93308,1.34053,0.93894,0.91334,0.97874,0.68899,1.11765,1.13786,1.54619,0.000742815,0.000742815,0.000742815
30,1659.05,0.9175,0.92022,1.32244,0.75157,0.9,0.9141,0.67748,1.00015,1.41407,1.38874,0.000709809,0.000709809,0.000709809
31,1843.13,0.81108,0.83746,1.25137,0.86599,0.875,0.94462,0.7109,0.98105,1.16569,1.38005,0.000676802,0.000676802,0.000676802
32,1901.94,0.81679,0.82588,1.26334,0.91837,0.96755,0.99029,0.75414,1.04982,0.92671,1.4395,0.000643795,0.000643795,0.000643795
33,1958.03,0.89786,0.90042,1.30975,0.90576,0.95136,0.98648,0.72929,1.1201,0.94328,1.51233,0.000610789,0.000610789,0.000610789
34,2029.51,0.88083,0.84279,1.28882,0.90292,0.9621,0.95841,0.70682,1.04303,1.0565,1.39029,0.000577782,0.000577782,0.000577782
35,2081.96,0.79257,0.77007,1.22891,0.90558,0.975,0.96797,0.71456,0.99703,1.02922,1.35463,0.000544776,0.000544776,0.000544776
36,2133.95,0.84834,0.79739,1.27519,0.98364,0.90678,0.995,0.77522,1.04803,0.88399,1.39836,0.000511769,0.000511769,0.000511769
37,2185.98,0.72057,0.70185,1.20197,0.90831,0.95979,0.99154,0.76997,1.0478,0.87828,1.40237,0.000478762,0.000478762,0.000478762
38,2237.93,0.77942,0.70633,1.21891,0.91894,0.92341,0.98845,0.78475,0.99312,0.91913,1.34782,0.000445756,0.000445756,0.000445756
39,2321.89,0.75863,0.75693,1.24501,0.88703,0.94127,0.98325,0.76283,1.02895,1.05606,1.37829,0.000412749,0.000412749,0.000412749
40,2431.55,0.76243,0.74269,1.2167,0.87175,0.9672,0.98398,0.69668,1.24852,1.12787,1.6179,0.000379743,0.000379743,0.000379743
41,2493.11,0.64542,0.84025,1.15556,0.96301,0.99672,0.99381,0.70081,1.29153,0.94299,1.68801,0.000346736,0.000346736,0.000346736
42,2544.41,0.60861,0.76897,1.15841,0.9466,1,0.995,0.69168,1.2989,0.98347,1.70103,0.000313729,0.000313729,0.000313729
43,2595.99,0.60898,0.73787,1.1719,0.92554,0.99595,0.995,0.68251,1.3763,0.96533,1.77301,0.000280723,0.000280723,0.000280723
44,2647.57,0.57713,0.67445,1.10522,0.99416,1,0.995,0.7461,1.12283,0.86976,1.49478,0.000247716,0.000247716,0.000247716
45,2699.1,0.54416,0.67596,1.16459,0.9817,0.996,0.995,0.77625,1.08797,0.85617,1.46182,0.00021471,0.00021471,0.00021471
46,2751.04,0.5366,0.64773,1.10775,0.99437,0.97008,0.99381,0.77682,1.12756,0.842,1.54199,0.000181703,0.000181703,0.000181703
47,2802.86,0.54315,0.64443,1.09777,0.97312,0.99674,0.99262,0.77136,1.11995,0.84088,1.55079,0.000148696,0.000148696,0.000148696
48,2854.42,0.55153,0.61493,1.11419,0.95762,0.975,0.99143,0.76309,1.11672,0.83485,1.54914,0.00011569,0.00011569,0.00011569
49,2906.07,0.50933,0.5873,1.06918,0.96334,0.975,0.99143,0.76395,1.12332,0.82369,1.56072,8.26832e-05,8.26832e-05,8.26832e-05
50,2957.6,0.49762,0.58313,1.09016,0.96021,0.975,0.99262,0.76703,1.10967,0.81276,1.53732,4.96766e-05,4.96766e-05,4.96766e-05
