epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1246.08,0.70638,0.44504,1.02051,0.89311,0.80502,0.81618,0.6855,0.72509,1.08227,1.07979,0.000414909,0.000414909,0.000414909
2,2552.28,0.74956,0.47501,1.03662,0.84996,0.80516,0.80822,0.65828,0.77438,1.09717,1.10031,0.00081511,0.00081511,0.00081511
3,3950.94,0.76167,0.52304,1.04431,0.9128,0.73773,0.84669,0.68078,0.788,1.01555,1.09892,0.00119881,0.00119881,0.00119881
